,arc_aggregate,arc_de,arc_en,arc_es,arc_fr,arc_it,belebele_aggregate,belebele_de,belebele_en,belebele_es,belebele_fr,belebele_it,dataset_aggregate,de_aggregate,en_aggregate,es_aggregate,fr_aggregate,it_aggregate,language_aggregate,m_mmlu_aggregate,m_mmlu_de,m_mmlu_en,m_mmlu_es,m_mmlu_fr,m_mmlu_it,overall_aggregate,truthfulqa_aggregate,truthfulqa_de,truthfulqa_en,truthfulqa_es,truthfulqa_fr,truthfulqa_it
google__flan-t5-xxl,0.3422153345486202,0.2797262617621899,0.48293515358361777,0.30256410256410254,0.34901625320787,0.2968349016253208,0.8597777777777779,0.8622222222222222,0.9444444444444444,0.8366666666666667,0.8611111111111112,0.7944444444444444,0.51679653837927,0.5009508696792924,0.5960796300471601,0.49586856673532315,0.5115375611340175,0.47954606430055663,0.51679653837927,0.45265916202116196,0.43264444109217076,0.5491024287222809,0.42920353982300885,0.44175387670918953,0.4105915237591599,0.51679653837927,0.4125338791695198,0.42921055364058647,0.40783649343829736,0.4150399578875145,0.39426900350789934,0.41631338737330137
Qwen__Qwen2-1.5B-Instruct,0.3466840078734379,0.31907613344739094,0.431740614334471,0.3367521367521368,0.3319076133447391,0.31394354148845166,0.6773333333333333,0.65,0.7322222222222222,0.6611111111111111,0.6844444444444444,0.6588888888888889,0.4852068384748947,0.46558918971665886,0.5377267108517835,0.47506614545116266,0.4793820013594084,0.46827014499546016,0.48520683847489465,0.48951717891320917,0.4563282546387087,0.5539297028209383,0.4822258887055647,0.4841494156290581,0.47095263277177607,0.48520683847489465,0.4272928337795984,0.4369523707805359,0.4330143040295026,0.42017544523583794,0.4170265320193918,0.4292955168327239
CohereForAI__aya-23-8B,0.4935717106710955,0.4679213002566296,0.5298634812286689,0.48376068376068376,0.5021385799828914,0.48417450812660395,0.8182222222222222,0.81,0.86,0.8088888888888889,0.8188888888888889,0.7933333333333333,0.5658753042229949,0.5536455219443712,0.5957920880129647,0.5586126442054138,0.563860651370247,0.557465615581978,0.565875304222995,0.5096710976975063,0.49532357821692563,0.5395233066827576,0.5022498875056247,0.5070659231533114,0.5041927929289114,0.5658753042229949,0.442036186301156,0.44133720930392967,0.4537815641404322,0.4395511166664581,0.4273492134558963,0.4481618279390634
microsoft__Phi-3-medium-128k-instruct,0.6281137491235385,0.6030795551753636,0.681740614334471,0.6299145299145299,0.6082121471343028,0.6176218990590248,0.9015555555555554,0.8966666666666666,0.9355555555555556,0.8977777777777778,0.8933333333333333,0.8844444444444445,0.6899352623290944,0.6772707177244288,0.7330327493581186,0.6852480722062733,0.6782138303632678,0.6759109419933841,0.6899352623290945,0.71570275539538,0.6879619852164731,0.7685171217378187,0.7071396430178492,0.7120922771369643,0.7028027498677948,0.6899352623290944,0.5143689892419041,0.5213746638392118,0.5463177058046293,0.5061603381149363,0.499217563848471,0.49877467460227215
Qwen__Qwen2.5-7B-Instruct,0.5245097271234076,0.48417450812660395,0.5742320819112628,0.517948717948718,0.5183917878528657,0.5278015397775877,0.8957777777777778,0.8866666666666667,0.92,0.8955555555555555,0.9,0.8766666666666667,0.6709900185837927,0.6460437367955623,0.7138792264743475,0.6677400668106086,0.6672576679496037,0.6600293948888412,0.6709900185837927,0.6832178004891766,0.6542464926836626,0.7367627093075879,0.68051597420129,0.678023069284241,0.6665407569691018,0.6709900185837927,0.5804547689448085,0.5590872797053156,0.6245221146785392,0.5769400195368709,0.5726158146613081,0.5691086161420084
Qwen__Qwen2.5-14B-Instruct,0.66435529770573,0.613344739093242,0.7261092150170648,0.6649572649572649,0.6552609067579127,0.6621043627031651,0.9268888888888889,0.9377777777777778,0.9477777777777778,0.9222222222222223,0.9233333333333333,0.9033333333333333,0.7468869106872416,0.7259441794796652,0.7900836596608659,0.7471922162938911,0.7412362152374476,0.7299782827643378,0.7468869106872416,0.7535640408061772,0.7338210891537185,0.7967265047518479,0.748537573121344,0.7492170193262547,0.7395180176777215,0.7468869106872416,0.64273941534817,0.6188331118939225,0.6897211410967731,0.653051804874733,0.6371336015322896,0.6149574173431315
meta-llama__Llama-3.2-1B-Instruct,0.34395567664006893,0.3011120615911035,0.41467576791808874,0.335042735042735,0.3421727972626176,0.32677502138579984,0.484,0.4533333333333333,0.5577777777777778,0.4588888888888889,0.4855555555555556,0.46444444444444444,0.4111528766669574,0.3839340868983665,0.46689685490031807,0.4040597739811441,0.40446460762036796,0.39640905993459036,0.4111528766669574,0.38909461991006083,0.36543973449992456,0.4560265500075426,0.3848057597120144,0.3753723932472691,0.3638286620835537,0.4111528766669574,0.4275612101176998,0.41585121816910486,0.4391073238978632,0.43750171228093826,0.41475768441602934,0.4305881118245633
google__gemma-2-9b-it,0.6308375532873295,0.592814371257485,0.7056313993174061,0.6376068376068376,0.6193327630453379,0.5988023952095808,0.8935555555555557,0.8866666666666667,0.9377777777777778,0.8788888888888889,0.8855555555555555,0.8788888888888889,0.6639429303781393,0.6400675707455337,0.7244082522498985,0.6560740547289821,0.653811901787526,0.6453528723787566,0.6639429303781393,0.6081143827575586,0.5809322673103032,0.672197918238045,0.59982000899955,0.5996486135512947,0.5879731056886002,0.6639429303781393,0.5232642299121137,0.4998569777476797,0.5820259136663648,0.5079804834206517,0.5107106749979157,0.5157470997279562
meta-llama__Meta-Llama-3.1-8B-Instruct,0.5361253544617874,0.48845166809238666,0.6092150170648464,0.5196581196581197,0.5201026518391788,0.5431993156544055,0.8804444444444444,0.8722222222222222,0.9266666666666666,0.8666666666666667,0.8811111111111111,0.8555555555555555,0.6319608630665732,0.6095712978107709,0.6837125291769963,0.6187190411651715,0.6246094156735703,0.6231920315063563,0.631960863066573,0.6025681914914447,0.5769346809473526,0.6589983406245286,0.6011699415029248,0.590711175616836,0.5850268187655814,0.6319608630665731,0.5087054618686159,0.5006766199811221,0.5399700923519437,0.4873814368329748,0.5065127241271555,0.5089864360498828
stabilityai__stablelm-2-12b-chat,0.578867888496345,0.5389221556886228,0.6476109215017065,0.5743589743589743,0.5705731394354149,0.562874251497006,0.8286666666666667,0.8177777777777778,0.8811111111111111,0.82,0.8166666666666667,0.8077777777777778,0.6258121144780038,0.6006391314546529,0.6863552624189405,0.6236465483754039,0.6140708631447928,0.604348766996229,0.6258121144780038,0.5504589746290117,0.5339417710061849,0.5957157942374416,0.551522423878806,0.5366282178595982,0.5344866661630279,0.6258121144780038,0.5452549281199919,0.511914821346026,0.6209832228255031,0.5487047952638352,0.5324154286174911,0.5122563725471042
